Transpose,32,0.088746,0.088394,0.089281
Transpose,64,0.079450,0.079040,0.079850
Transpose,128,0.078559,0.078254,0.078849
Transpose,256,0.078884,0.078696,0.079220
Transpose,512,0.079148,0.078842,0.079904
Transpose,1024,0.080359,0.080074,0.080745
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.576226,0.570357,0.584255
Naive,32,0.131972,0.131787,0.132361
Naive,64,0.131920,0.131741,0.132392
Naive,128,0.132307,0.132129,0.132728
Naive,256,0.132420,0.132246,0.132915
Naive,512,0.134148,0.133842,0.134888
Naive,1024,0.134834,0.134608,0.135249
Transpose,32,0.089033,0.088823,0.089370
Transpose,64,0.079448,0.079063,0.080080
Transpose,128,0.078904,0.078560,0.079278
Transpose,256,0.078860,0.078439,0.079302
Transpose,512,0.079113,0.078865,0.079458
Transpose,1024,0.080608,0.080253,0.081195
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550720,0.546165,0.557903
Naive,32,0.133377,0.133217,0.133756
Naive,64,0.132017,0.131825,0.132367
Naive,128,0.132159,0.131929,0.132810
Naive,256,0.132484,0.132308,0.132968
Naive,512,0.132802,0.132559,0.133361
Naive,1024,0.134817,0.134605,0.135368
Transpose,32,0.089101,0.088603,0.089591
Transpose,64,0.079163,0.078986,0.079469
Transpose,128,0.078572,0.078182,0.079004
Transpose,256,0.078973,0.078728,0.079478
Transpose,512,0.079156,0.079005,0.079435
Transpose,1024,0.080427,0.080047,0.080901
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549660,0.547405,0.554351
Naive,32,0.131979,0.131751,0.132567
Naive,64,0.133467,0.133225,0.133922
Naive,128,0.132183,0.131909,0.132654
Naive,256,0.132371,0.132196,0.132840
Naive,512,0.134276,0.134036,0.134691
Naive,1024,0.136344,0.136196,0.136816
Transpose,32,0.088592,0.088327,0.089009
Transpose,64,0.079208,0.078877,0.079758
Transpose,128,0.078577,0.078151,0.079254
Transpose,256,0.078622,0.078508,0.079081
Transpose,512,0.078870,0.078414,0.079294
Transpose,1024,0.080397,0.080086,0.081063
Shmem,32,0.079463,0.078975,0.080031
Shmem,64,0.074087,0.073808,0.074534
Shmem,128,0.073408,0.072905,0.074062
Shmem,256,0.073472,0.073035,0.074065
Shmem,512,0.073975,0.073412,0.074338
Shmem,1024,0.076178,0.075781,0.076676
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549798,0.547721,0.556644
Naive,32,0.133471,0.133200,0.134009
Naive,64,0.133417,0.133221,0.133790
Naive,128,0.133689,0.133360,0.134284
Naive,256,0.133879,0.133624,0.134452
Naive,512,0.132621,0.132399,0.133276
Naive,1024,0.136328,0.136018,0.136788
Transpose,32,0.088796,0.088371,0.089139
Transpose,64,0.079550,0.079332,0.080128
